,model,website,type,fullname,price,status,time_to_market,size,resolution,rear_camera,front_camera,battery_size,battery_type,CPU,memory
1372,MI 3C,http://detail.zol.com.cn/cell_phone/index1137560.shtml,手机,小米红米Note 3（高配版/全网通）,1120,停产,,5.5英寸,1920x1080像素,1600万像素,500万像素,4000mAh,不可拆卸式电池,六核,3GB
1373,vivo 1816,http://detail.zol.com.cn/cell_phone/index1230833.shtml,手机,vivo X23 LOGO PHONE（全网通）,3198,正常,,6.41英寸,2340x1080像素,1200万像素+1300万像素,1200万像素,3400mAh,不可拆卸式电池,八核,8GB
1374,PBBM00,http://detail.zol.com.cn/cell_phone/index1230746.shtml,手机,OPPO A7x（移动全网通）,1400,正常,,6.3英寸,2340x1080像素,1600万像素+200万像素,1600万像素,3500mAh,不可拆卸式电池,八核,4GB
1375,AGS2-AL00,http://detail.zol.com.cn/cell_phone/index1170042.shtml,手机,华为nova 2（PIC-AL00/全网通）,1228,正常,,5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,2950mAh,不可拆卸式电池,八核,4GB
1376,HUAWEI TAG-AL00,http://detail.zol.com.cn/cell_phone/index1116129.shtml,手机,华为畅享5S（TAG-AL00/全网通）,650,停产,2015年12月,5英寸,1280x720像素,1300万像素,500万像素,2200mAh,不可拆卸式电池,八核,2GB
1377,YEPEN,http://detail.zol.com.cn/cell_phone/index1263901.shtml,手机,誉品i7s（全网通）,399,正常,,2.2英寸,320x240像素,1300万像素,500万像素,2700mAh,可拆卸式电池,四核,3GB
1378,FIG-AL00,http://detail.zol.com.cn/cell_phone/index1205137.shtml,手机,华为畅享7S（4GB RAM/全网通）,1099,正常,,5.65英寸,2160x1080像素,1300万像素+200万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
1379,INE-AL00,http://detail.zol.com.cn/cell_phone/index1170043.shtml,手机,华为nova 2 Plus（BAC-AL00/全网通）,1098,正常,2017年06月,5.5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,3340mAh,不可拆卸式电池,八核,4GB
1380,ChanghongS06,http://detail.zol.com.cn/cell_phone/index1172581.shtml,手机,长虹S06（全网通）,599,正常,,5.5英寸,1280x720像素,1300万像素,500万像素,2700mAh,不可拆卸式电池,四核,3GB
1381,MI 8 SE,http://detail.zol.com.cn/cell_phone/index319601.shtml,手机,小米米Phone,0,停产,,4英寸,800x480像素,800万像素,暂无数据,1930mAh,可拆卸式电池,暂无数据,暂无数据
1382,ChanghongS07,http://detail.zol.com.cn/cell_phone/index240325.shtml,手机,HONPhone A4,1999,正常,,2.4英寸,320x240像素,200万像素,30万像素,3000mAh,可拆卸式电池,暂无数据,暂无数据
1383,ELE-TL00,http://detail.zol.com.cn/cell_phone/index1179566.shtml,手机,华为nova 2 Plus（BAC-TL00/移动全网通）,1459,停产,2017年06月,5.5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,3340mAh,不可拆卸式电池,八核,4GB
1384,ChanghongS08,http://detail.zol.com.cn/cell_phone/index1157895.shtml,手机,长虹S08（移动4G）,358,停产,,5英寸,1280x720像素,500万像素,暂无数据,1800mAh,不可拆卸式电池,四核,1GB
1385,Sirius,http://detail.zol.com.cn/cell_phone/index398689.shtml,手机,苹果iPhone SE（全网通）,2999,停产,2016年03月,4英寸,1136x640像素,1200万像素,120万像素,1642mAh,不可拆卸式电池,双核,2GB
1386,NX510J,http://detail.zol.com.cn/cell_phone/index404248.shtml,手机,努比亚Z9 Max（极速版/电信4G）,1999,正常,2015年07月,5.5英寸,1920x1080像素,1600万像素,800万像素,2900mAh,不可拆卸式电池,八核,3GB
1387,ChanghongS09,http://detail.zol.com.cn/cell_phone/index1259569.shtml,手机,长虹S09,299,正常,,5英寸,1280*720,500万像素,200万像素,1050mAh,不可拆卸式电池,四核,1GB
1388,Hisense F22,http://detail.zol.com.cn/cell_phone/index1160456.shtml,手机,海信f20t （电信4G）,288,正常,,5.5英寸,1280x720像素,800万像素,30万像素,2500mAh,可拆卸式电池,四核,1GB
1389,HUAWEI CAZ,http://detail.zol.com.cn/cell_phone/index1154505.shtml,手机,华为nova（CAZ-AL10/高配版/全网通）,988,停产,2016年10月,5英寸,1920x1080像素,1200万像素,800万像素,3020mAh,不可拆卸式电池,八核,4GB
1390,k61v1_32_bsp_1g,http://detail.zol.com.cn/cell_phone/index306446.shtml,手机,诺基亚Meego Harmattan 2（概念机）,0,非售,,,,,,,,,
1391,Hisense E77MINI,http://detail.zol.com.cn/cell_phone/index1182568.shtml,手机,海信H10青春版（全网通）,2899,正常,,5.2英寸,1280x720像素,1300万像素,1600万像素,3000mAh,不可拆卸式电池,八核,3GB
1392,k79v1_64,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
1393,Hisense F23,http://detail.zol.com.cn/cell_phone/index1168900.shtml,手机,海信小海豚Plus（全网通）,799,正常,,5.5英寸,1280x720像素,1300万像素,500万像素,3000mAh,不可拆卸式电池,四核,3GB
1394,PADT00,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
1395,10.00 K1,http://detail.zol.com.cn/cell_phone/index1233711.shtml,手机,OPPO K1（6GB RAM/全网通）,1599,正常,,6.4英寸,2340x1080像素,1600万像素+200万像素,2500万像素,3600mAh,不可拆卸式电池,八核,6GB
1396,ZTE BA910,http://detail.zol.com.cn/cell_phone/index1142874.shtml,手机,中兴A910（公开版/全网通）,788,停产,,5.5英寸,暂无数据,1300万像素,800万像素,2540mAh,暂无数据,四核,3GB
1397,VOLTE,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s6474-s4328_1.html,手机,,0,非售,,,,,,,,,
1398,STF-TL10,http://detail.zol.com.cn/cell_phone/index1179950.shtml,手机,荣耀9（6GB RAM/移动全网通）,1599,正常,2017年06月16日,5.15英寸,1920x1080像素,1200万像素+2000万像素,800万像素,3200mAh,不可拆卸式电池,八核,6GB
1399,DOOV M1t,http://detail.zol.com.cn/cell_phone/index1143065.shtml,手机,朵唯M1t（移动4G）,620,停产,,5.5英寸,960x540像素,500万像素,200万像素,2600mAh,可拆卸式电池,四核,1GB
1400,ZTE BA611C,http://detail.zol.com.cn/cell_phone/index1153758.shtml,手机,中兴Blade A601（全网通）,378,正常,,5英寸,1280x720像素,800万像素,200万像素,4000mAh,不可拆卸式电池,四核,1GB
1401,dazen X7,http://detail.zol.com.cn/cell_phone/index392838.shtml,手机,大神X7（8690/双4G）,900,停产,2015年01月,5.2英寸,1920x1080像素,1300万像素,800万像素,2700mAh,不可拆卸式电池,真八核,2GB
1402,M812C,http://detail.zol.com.cn/cell_phone/index387649.shtml,手机,中国移动M812,999,停产,,5.5英寸,1280x720像素,800万像素,500万像素,3100mAh,不可拆卸式电池,四核,2GB
1403,HUAWEI CRR-UL00,http://detail.zol.com.cn/cell_phone/index405659.shtml,手机,华为Mate S（CRR-UL00/臻享版/双4G）,2390,停产,,5.5英寸,1920x1080像素,1300万像素,800万像素,2700mAh,不可拆卸式电池,真八核,3GB
1404,oppo r7sm,http://detail.zol.com.cn/cell_phone/index1102110.shtml,手机,OPPO R7s（4GB RAM/全网通）,2300,正常,2015年10月,5.5英寸,1920x1080像素,1300万像素,800万像素,3070mAh,不可拆卸式电池,真八核,4GB
1405,SHT-AL09,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
1406,EVR-AL00,http://detail.zol.com.cn/cell_phone/index1170042.shtml,手机,华为nova 2（PIC-AL00/全网通）,1228,正常,,5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,2950mAh,不可拆卸式电池,八核,4GB
1407,OPPO R9km,http://detail.zol.com.cn/cell_phone/index1115953.shtml,手机,OPPO R9（全网通）,2499,正常,2016年03月,5.5英寸,1920x1080像素,1300万像素,1600万像素,2850mAh,不可拆卸式电池,八核,4GB
1408,LLD-AL00,http://detail.zol.com.cn/cell_phone/index1204005.shtml,手机,荣耀9青春版（3GB RAM/全网通）,999,正常,2017年12月26日,5.65英寸,2160x1080像素,1300万像素+200万像素,1300万像素+200万像素,3000mAh,不可拆卸式电池,八核,3GB
1409,H9A,http://detail.zol.com.cn/cell_phone/index1139746.shtml,手机,OPPO R9 Plus（全网通）,2779,正常,2016年03月,6英寸,1920x1080像素,1600万像素,1600万像素,4120mAh,不可拆卸式电池,八核,4GB
1410,MHA-L29,http://detail.zol.com.cn/cell_phone/index1143413.shtml,手机,华为Mate 9（MHA-AL00/4GB RAM/全网通）,1788,停产,2016年11月14日,5.9英寸,1920x1080像素,2000万像素+1200万像素,800万像素,4000mAh,不可拆卸式电池,八核,4GB
1411,HLTE213M,http://detail.zol.com.cn/cell_phone/index1253463.shtml,手机,海信小海豚3（全网通）,749,正常,,6.217英寸,1520x720像素,1300万像素,800万像素,4500mAh,不可拆卸式电池,八核,4GB
1412,HUAWEI MLA-AL00,http://detail.zol.com.cn/cell_phone/index1149485.shtml,手机,华为麦芒5（MLA-AL00/标配版/全网通）,999,正常,,5.5英寸,1920x1080像素,1600万像素,800万像素,3340mAh,不可拆卸式电池,八核,3GB
1413,PBAT00,http://detail.zol.com.cn/cell_phone/index1221131.shtml,手机,OPPO A5（移动定制版/全网通）,0,即将上市,2018年07月05日,6.2英寸,1520x720像素,1300万像素+200万像素,800万像素,4230mAh,不可拆卸式电池,八核,4GB
1414,ChanghongC08,http://detail.zol.com.cn/cell_phone/index1179293.shtml,手机,长虹C08（全网通）,698,正常,,5.5英寸,1280x720像素,800万像素,500万像素,2500mAh,暂无数据,四核,3GB
1415,7S,http://detail.zol.com.cn/cell_phone/index1139190.shtml,手机,苹果iPhone 7s Plus（全网通）,0,概念产品,,5.8英寸,1920x1080像素,暂无数据,暂无数据,暂无数据,暂无数据,四核,暂无数据
1416,hm note 1s,http://detail.zol.com.cn/cell_phone/index374237.shtml,手机,小米红米Note（增强版/移动3G/2GB RAM）,899,正常,2014年05月,5.5英寸,1280x720像素,1300万像素,500万像素,3100mAh,可拆卸式电池,真八核,2GB
1417,COR-AL10,http://detail.zol.com.cn/cell_phone/index1215468.shtml,手机,荣耀Play（4GB RAM/全网通）,1499,正常,,6.3英寸,2340x1080像素,彩色1600万像素+彩色200万像素,彩色1600万像素,3750mAh,,,4GB
1418,KOPO T9,http://detail.zol.com.cn/cell_phone/index172644.shtml,手机,OPPO T9,1645,正常,,3.2英寸,240×432像素,200万像素,暂无数据,1250mAh,暂无数据,暂无数据,暂无数据
1419,MP1710,http://detail.zol.com.cn/cell_phone/index1222490.shtml,手机,美图M7（全网通）,0,概念产品,,5.88英寸,2244x1080像素,1200万像素+500万像素,1200万像素+500万像素,2830mAh,不可拆卸式电池,十核,4GB/6GB
1420,vivo Y13iL,http://detail.zol.com.cn/cell_phone/index403169.shtml,手机,vivo Y13iL（移动4G）,550,停产,,4.5英寸,854x480像素,500万像素,200万像素,1900mAh,可拆卸式电池,四核,768MB
1421,MP1711,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
1422,DOOV L9 mini,http://detail.zol.com.cn/cell_phone/index1161776.shtml,手机,朵唯L9 mini（全网通）,1129,停产,2016年12月,5英寸,1280x720像素,1300万像素,1300万像素,2500mAh,不可拆卸式电池,八核,3GB
1423,m1872,http://detail.zol.com.cn/cell_phone/index1225377.shtml,手机,酷派酷玩7（全网通）,699,正常,,5.85英寸,暂无数据,1300万像素+30万像素,800万像素,2800mAh,不可拆卸式电池,八核,4GB
1424,MI 3W,http://detail.zol.com.cn/cell_phone/index1170480.shtml,手机,小米6X（4GB RAM/全网通）,1599,正常,2018年04月27日,5.99英寸,2160x1080像素,2000万像素+1200万像素,2000万像素,3010mAh,不可拆卸式电池,八核,4GB
1425,LA-S31,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
1426,CPH1819,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
1427,MP1713,http://detail.zol.com.cn/cell_phone/index273715.shtml,手机,苹果iPhone 6（全网通）,5250,正常,2014年09月,4.7英寸,1334x750像素,800万像素,120万像素,1810mAh,不可拆卸式电池,双核,1GB
1428,M685U,http://detail.zol.com.cn/cell_phone/index402591.shtml,手机,魅族MX6（4GB RAM/全网通）,999,停产,2016年07月,5.5英寸,1920x1080像素,1200万像素,500万像素,3060mAh,不可拆卸式电池,十核,4GB
1429,HLTE213T,http://detail.zol.com.cn/cell_phone/index1237466.shtml,手机,海信金刚4（全网通）,899,正常,,6.22英寸,1520x720像素,1300万像素,800万像素,4500mAh,不可拆卸式电池,4GB,暂无数据
1430,LA-S33,http://detail.zol.com.cn/cell_phone/index224420.shtml,手机,Google Phone,0,停产,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
1431,PLK-AL10,http://detail.zol.com.cn/cell_phone/index402871.shtml,手机,荣耀7（PLK-AL10/全网通）,1859,停产,2015年06月,5.2英寸,1920x1080像素,2000万像素,800万像素,3100mAh,不可拆卸式电池,真八核,3GB
1432,"iPad6,11",http://detail.zol.com.cn/tablepc/index1184210.shtml,平板电脑,苹果新iPad Pro 11英寸（64GB/WLAN）,6499,正常,,11英寸,2388x1668,八核心,苹果 A12X,64GB,暂无数据,聚合物锂电池，29.37瓦时,10小时左右，具体时间视使用环境而定
1433,VS987,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
1434,LA-S35,http://detail.zol.com.cn/cell_phone/index368535.shtml,手机,苹果iPhone 6S（全网通）,4690,正常,2015年09月,4.7英寸,1334x750像素,1200万像素,500万像素,1715mAh,不可拆卸式电池,双核,2GB
1435,MAX3,http://detail.zol.com.cn/cell_phone/index1224445.shtml,手机,小米Max 3（6GB RAM/全网通）,1899,正常,,6.9英寸,2160x1080像素,1200万像素+500万像素,800万像素,5500mAh,不可拆卸式电池,八核,6GB
1436,NEM-UL10,http://detail.zol.com.cn/cell_phone/index1143415.shtml,手机,荣耀畅玩5C（NEM-UL10/双4G）,800,正常,,5.2英寸,1920x1080像素,1300万像素,800万像素,3000mAh,不可拆卸式电池,八核,2GB
1437,MP1718,http://detail.zol.com.cn/cell_phone/index1214501.shtml,手机,美图T9（4GB RAM/全网通）,1878,正常,2018年06月,6.01英寸,2160x1080像素,1200万像素+500万像素,1200万像素+500万像素,3100mAh,不可拆卸式电池,八核,4GB
1438,GIONEE GN5006L,http://detail.zol.com.cn/cell_phone/index1163087.shtml,手机,金立金钢2（全网通）,599,正常,,5英寸,1280x720像素,800万像素,500万像素,4000mAh,不可拆卸式电池,四核,3GB
1439,MLLED X9,http://detail.zol.com.cn/cell_phone/index1158842.shtml,手机,vivo X9（全网通）,1998,停产,2016年11月24日,5.5英寸,1920x1080像素,1600万像素,2000万像素+800万像素,3050mAh,不可拆卸式电池,八核,4GB
1440,SM-G3139D,http://detail.zol.com.cn/cell_phone/index384150.shtml,手机,三星GALAXY Ace 4（G3139D/电信3G）,339,停产,,4英寸,800x480像素,300万像素,暂无数据,1500mAh,可拆卸式电池,双核,512MB
1441,SM-G9700,http://detail.zol.com.cn/cell_phone/index1227273.shtml,手机,三星Galaxy S10e（6GB RAM/全网通）,4999,正常,,5.8英寸,2280x1080像素,1600万像素+1200万像素,1000万像素,3100mAh,不可拆卸式电池,八核,6GB
1442,GOME 2017X05A,http://detail.zol.com.cn/cell_phone/index1146430.shtml,手机,三星W2017（电信4G）,8350,正常,,4.2英寸,1920x1080像素,1200万像素,500万像素,2300mAh,暂无数据,四核,4GB
1443,N18,http://detail.zol.com.cn/cell_phone/index332704.shtml,手机,邦华N18,199,停产,,1.8英寸,160x128像素,暂无数据,暂无数据,可拆卸式电池,暂无数据,暂无数据,暂无数据
1444,OUJIA 2019,http://detail.zol.com.cn/cell_phone/index1213909.shtml,手机,ROG 游戏手机（全网通）,5499,正常,,6英寸,2160x1080像素,1200万像素+800万像素,800万像素,4000mAh,不可拆卸式电池,八核,8GB
1445,OPPO A79k,http://detail.zol.com.cn/cell_phone/index1230746.shtml,手机,OPPO A7x（移动全网通）,1400,正常,,6.3英寸,2340x1080像素,1600万像素+200万像素,1600万像素,3500mAh,不可拆卸式电池,八核,4GB
1446,ZTE BA611T,http://detail.zol.com.cn/cell_phone/index1162254.shtml,手机,中兴远航4s（高配版/移动版双4G）,625,停产,,5英寸,1280x720像素,800万像素,500万像素,4000,暂无数据,四核,3GB
1447,BOWAY X7,http://detail.zol.com.cn/cell_phone/index1161008.shtml,手机,邦华X7（全网通）,899,停产,,5.5英寸,1280x720像素,1300万像素,800万像素,2700mAh,暂无数据,四核,3GB
1448,vivo y51,http://detail.zol.com.cn/cell_phone/index1115625.shtml?_t_t_t=0.7531024426874443,手机,vivo Y51A（高配版/全网通）,998,停产,,5英寸,960x540像素,800万像素,500万像素,2350mAh,不可拆卸式电池,四核,2GB
1449,TCL 580,http://detail.zol.com.cn/cell_phone/index50485.shtml,手机,TCL 3199,0,停产,,暂无数据,暂无数据,30万像素,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
1450,Hisense E76mini,http://detail.zol.com.cn/cell_phone/index1162871.shtml,手机,海信金盾（E76mini/畅享版/全网通）,1249,停产,,5英寸,暂无数据,1300万像素,500万像素,4000mAh,不可拆卸式电池，充电时长≤3小时,八核,4GB
1451,F100A,http://detail.zol.com.cn/cell_phone/index1144011.shtml,手机,金立F100（移动4G）,599,停产,,5英寸,1280x720像素,500万像素,200万像素,2400mAh,可拆卸式电池,四核,1GB
1452,MI 4C,http://detail.zol.com.cn/cell_phone/index399550.shtml,手机,小米4C（标准版/全网通）,1099,正常,,5英寸,1920x1080像素,1300万像素,500万像素,3080mAh,不可拆卸式电池,六核,2GB
1453,NX591J,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
1454,H9S,http://detail.zol.com.cn/cell_phone/index398689.shtml,手机,苹果iPhone SE（全网通）,2999,停产,2016年03月,4英寸,1136x640像素,1200万像素,120万像素,1642mAh,不可拆卸式电池,双核,2GB
1455,vivo Z1,http://detail.zol.com.cn/cell_phone/index1216106.shtml,手机,vivo Z1（6GB RAM/全网通）,1498,正常,2018年06月04日,6.257英寸,2280x1080像素,1300万像素+200万像素,主摄2x1200万像素（2400万感光单元）,3260mAh,不可拆卸式电池,八核,6GB
1456,FIG-AL10,http://detail.zol.com.cn/cell_phone/index1205137.shtml,手机,华为畅享7S（4GB RAM/全网通）,1099,正常,,5.65英寸,2160x1080像素,1300万像素+200万像素,800万像素,3000mAh,不可拆卸式电池,八核,4GB
1457,PLK-TL00,http://detail.zol.com.cn/cell_phone/index1214336.shtml,手机,荣耀畅玩7（全网通）,599,正常,,5.45英寸,1440x720像素,1300万像素,500万像素,3020mAh,不可拆卸式电池,四核,2GB
1458,SM-E7000,http://detail.zol.com.cn/cell_phone/index392912.shtml,手机,三星GALAXY E7（E7000/双4G）,1470,停产,,5.5英寸,1280x720像素,1300万像素,500万像素,2950mAh,不可拆卸式电池,四核,2GB
1459,SM-G9708,http://detail.zol.com.cn/cell_phone/index398621.shtml,手机,三星GALAXY S7（G9300/全网通）,2378,停产,2016年02月,5.1英寸,2560x1440像素,1200万像素,500万像素,3000mAh,不可拆卸式电池,四核,4GB
1460,GIONEE F6,http://detail.zol.com.cn/cell_phone/index161485.shtml,手机,金立F6,945,正常,,2.6英寸,400x240像素,130万像素,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
1461,ZTE V0721,http://detail.zol.com.cn/cell_phone/index1181909.shtml,手机,中兴Blade A2S（全网通）,478,正常,,5.2英寸,1920x1080像素,1300万像素,500万像素,2540mAh,暂无数据,八核,3GB
1462,Hisense F30,http://detail.zol.com.cn/cell_phone/index1143417.shtml,手机,海信F30（全网通）,549,停产,,5英寸,1280x720像素,800万像素,500万像素,2500mAh,不可拆卸式电池,四核,2GB
1463,Lenovo A3860,http://detail.zol.com.cn/cell_phone/index404957.shtml,手机,联想黄金斗士A8（A3860/畅玩高配版/移动4G）,498,停产,,5英寸,1280x720像素,800万像素,200万像素,2300mAh,可拆卸式电池,2GB,暂无数据
1464,CPH1969,http://detail.zol.com.cn/cell_phone/index1257077.shtml,手机,OPPO F11 Pro（全网通）,0,概念产品,,6.4英寸,暂无数据,4000万像素+500万像素,3200万像素,4000mAh,不可拆卸式电池,6GB,暂无数据
1465,m1 metal,http://detail.zol.com.cn/cell_phone/index1101680.shtml,手机,魅族魅蓝metal（双4G）,880,正常,2015年10月,5.5英寸,1920x1080像素,1300万像素,500万像素,3140mAh,不可拆卸式电池,真八核,2GB
1466,ChanghongS18,http://detail.zol.com.cn/cell_phone/index240325.shtml,手机,HONPhone A4,1999,正常,,2.4英寸,320x240像素,200万像素,30万像素,3000mAh,可拆卸式电池,暂无数据,暂无数据
1467,PIC-AL00,http://detail.zol.com.cn/cell_phone/index1170042.shtml,手机,华为nova 2（PIC-AL00/全网通）,1228,正常,,5英寸,1920x1080像素,1200万像素+800万像素,2000万像素,2950mAh,不可拆卸式电池,八核,4GB
1468,NX511J,http://detail.zol.com.cn/cell_phone/index403296.shtml,手机,努比亚Z9（极速版/电信4G）,1750,停产,2015年07月,5.2英寸,1920x1080像素,1600万像素,800万像素,2900mAh,不可拆卸式电池,真八核,3GB
1469,Hisense F31,http://detail.zol.com.cn/cell_phone/index1146343.shtml,手机,海信F3 PRO（全网通）,798,停产,,5英寸,1280x720像素,1300万像素,500万像素,2500mAh,不可拆卸式电池,八核,2GB
1470,OPPO R7s,http://detail.zol.com.cn/cell_phone/index1100486.shtml,手机,OPPO R7s（移动4G）,1940,停产,2015年10月,5.5英寸,1920x1080像素,1300万像素,800万像素,3070mAh,不可拆卸式电池,真八核,4GB
1471,GOME 2018M29A,http://detail.zol.com.cn/cell_phone/index1227196.shtml,手机,国美U9（全网通）,1799,停产,,6.18英寸,2246x1080像素,1200万像素+500万像素,1600万像素,3160mAh,不可拆卸式电池,八核,6GB
1472,OPPO A79t,http://detail.zol.com.cn/cell_phone/index1203640.shtml,手机,OPPO A79（全网通）,1699,正常,,6.01英寸,2160x1080像素,1600万像素,1600万像素,3000mAh,不可拆卸式电池,八核,4GB
1473,Lovme-T17,http://detail.zol.com.cn/cell_phone/index400790.shtml,手机,Lovme T9（移动4G）,399,停产,,5英寸,1280x720像素,800万像素,200万像素,2200mAh,暂无数据,四核,1GB
1474,OPPO R7t,http://detail.zol.com.cn/cell_phone/index398466.shtml,手机,OPPO R7（R7t/移动4G）,2299,正常,2015年05月,5英寸,1920x1080像素,1300万像素,800万像素,2320mAh,不可拆卸式电池,真八核,3GB
1475,E910(QJ),http://detail.zol.com.cn/cell_phone/index307484.shtml,手机,海信E910,1099,正常,,800x480像素,暂无数据,300万像素,暂无数据,可拆卸式电池,暂无数据,512MB,暂无数据
1476,DOOV L5,http://detail.zol.com.cn/cell_phone/index516064.shtml,手机,朵唯L5 Plus（双4G）,1050,停产,,5.5英寸,1920x1080像素,1300万像素,800万像素,2900mAh,不可拆卸式电池,八核,3GB
1477,HLTE310M,http://detail.zol.com.cn/cell_phone/index1234683.shtml,手机,海信H18（全网通）,1699,正常,,6.19英寸,1500x720像素,1200万像素+500万像素,1600万像素,3500mAh,不可拆卸式电池,八核,4GB
1478,Lovme-T19,http://detail.zol.com.cn/cell_phone/index400790.shtml,手机,Lovme T9（移动4G）,399,停产,,5英寸,1280x720像素,800万像素,200万像素,2200mAh,暂无数据,四核,1GB
1479,DOOV L7,http://detail.zol.com.cn/cell_phone/index1139833.shtml,手机,朵唯L7（全网通）,950,停产,,5.2英寸,1280x720像素,1300万像素,500万像素,2400mAh,不可拆卸式电池,四核,3GB
1480,F100L,http://detail.zol.com.cn/cell_phone/index1144011.shtml,手机,金立F100（移动4G）,599,停产,,5英寸,1280x720像素,500万像素,200万像素,2400mAh,可拆卸式电池,四核,1GB
1481,vivo X20Plus A,http://detail.zol.com.cn/cell_phone/index1183497.shtml,手机,vivo X20Plus（全网通）,3198,正常,,6.43英寸,2160x1080像素,主摄2x1200万像素（2400万感光单元）....>>,2x1200万像素（2400万感光单元）,3905mAh,不可拆卸式电池,八核,4GB
1482,DOOV L9,http://detail.zol.com.cn/cell_phone/index1156297.shtml,手机,朵唯L9（全网通）,2199,停产,,5.2英寸,1920x1080像素,1300万像素,1300万像素,2600mAh,不可拆卸式电池,八核,4GB
1483,CPH1821,http://detail.zol.com.cn/cell_phone/index1257077.shtml,手机,OPPO F11 Pro（全网通）,0,概念产品,,6.4英寸,暂无数据,4000万像素+500万像素,3200万像素,4000mAh,不可拆卸式电池,6GB,暂无数据
1484,Coolpad T1,http://detail.zol.com.cn/cell_phone/index383679.shtml,手机,酷派双棒T1（电信4G）,499,停产,,5.5英寸,1280x720像素,800万像素,200万像素,2500mAh,不可拆卸式电池,四核,1GB
1485,LLD-AL10,http://detail.zol.com.cn/cell_phone/index1205447.shtml,手机,荣耀9青春版（4GB RAM/全网通）,1399,正常,2017年12月26日,5.65英寸,2160x1080像素,1300万像素+200万像素,1300万像素+200万像素,3000mAh,不可拆卸式电池,八核,4GB
1486,ZD-P1-TJ3,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
1487,vivo X5S L,http://detail.zol.com.cn/cell_phone/index395014.shtml,手机,vivo X5SL（移动4G）,1998,停产,,5英寸,1280x720像素,1300万像素,500万像素,2250mAh,不可拆卸式电池,八核,2GB
1488,CPH1823,http://detail.zol.com.cn/cell_phone/index1163668.shtml,手机,Microsoft GraalPhone（全网通）,0,即将上市,,5英寸,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,8GB,暂无数据
1489,HUAWEI MLA-AL10,http://detail.zol.com.cn/cell_phone/index1148829.shtml,手机,华为麦芒5（MLA-AL10/高配版/全网通）,1099,停产,,5.5英寸,1920x1080像素,1600万像素,800万像素,3340mAh,不可拆卸式电池,八核,4GB
1490,SM-G5108Q,http://detail.zol.com.cn/cell_phone/index389064.shtml,手机,三星GALAXY Core Max（G5108Q/双4G）,1680,正常,,4.8英寸,960x540像素,800万像素,500万像素,2200mAh,可拆卸式电池,四核,1GB
1491,HUAWEI TAG-TL00,http://detail.zol.com.cn/cell_phone/index1116826.shtml,手机,华为畅享5S（TAG-TL00/移动4G）,650,停产,2015年12月,5英寸,1280x720像素,1300万像素,500万像素,2200mAh,不可拆卸式电池,八核,2GB
1492,ONE A2001,http://detail.zol.com.cn/cell_phone/index405911.shtml,手机,一加2（3GB RAM/双4G）,1799,停产,2015年08月,5.5英寸,1920x1080像素,1300万像素,500万像素,3300mAh,不可拆卸式电池,真八核,3GB
